period,respondent,respondent-name,type-name,value,value-units
2024-05-05T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,30506,megawatthours
2024-05-06T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,29542,megawatthours
2024-05-06T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,29042,megawatthours
2024-05-06T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,28136,megawatthours
2024-05-06T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,26420,megawatthours
2024-05-06T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,24348,megawatthours
2024-05-06T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,22952,megawatthours
2024-05-06T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,21671,megawatthours
2024-05-06T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,21041,megawatthours
2024-05-06T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,20664,megawatthours
2024-05-06T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,20539,megawatthours
2024-05-06T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,21334,megawatthours
2024-05-06T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,22804,megawatthours
2024-05-06T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,23666,megawatthours
2024-05-06T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,24599,megawatthours
2024-05-06T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,25739,megawatthours
2024-05-06T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,27281,megawatthours
2024-05-06T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,29001,megawatthours
2024-05-06T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,30820,megawatthours
2024-05-06T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,32416,megawatthours
2024-05-06T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,33681,megawatthours
2024-05-06T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,34517,megawatthours
2024-05-06T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,35055,megawatthours
2024-05-06T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,35376,megawatthours
2024-05-06T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,34935,megawatthours
2024-05-07T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,33822,megawatthours
2024-05-07T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,32738,megawatthours
2024-05-07T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,31457,megawatthours
2024-05-07T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,29058,megawatthours
2024-05-07T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,26632,megawatthours
